FX 67-K-170/17 AIRFOIL                          
 Alfa =   4.15600 Re =   200000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.99567
   0.99893  0.00005 -3.94832
   0.99039  0.00044 -6.77924
   0.97347  0.00105 -0.38338
   0.94844  0.00124  0.99591
   0.91573  0.00037 -5.46080
   0.87592 -0.00197 -8.67809
   0.85355 -0.00386 -8.22523
   0.82967 -0.00625 -7.54079
   0.80438 -0.00913 -6.53439
   0.77779 -0.01236 -5.49171
   0.75000 -0.01572 -4.53819
   0.72114 -0.01896 -3.78462
   0.69134 -0.02187 -3.23883
   0.66072 -0.02437 -2.85603
   0.62941 -0.02654 -2.59576
   0.59755 -0.02844 -2.42211
   0.56526 -0.03012 -2.30013
   0.53270 -0.03155 -2.26672
   0.50000 -0.03272 -2.29456
   0.46730 -0.03365 -2.38653
   0.43474 -0.03435 -2.46275
   0.40245 -0.03480 -2.43957
   0.37059 -0.03501 -2.23306
   0.33928 -0.03499 -1.80766
   0.30866 -0.03474 -1.27604
   0.27886 -0.03425 -0.77719
   0.25000 -0.03354 -0.36273
   0.22221 -0.03261 -0.05019
   0.19562 -0.03146  0.17408
   0.17033 -0.03011  0.32889
   0.14645 -0.02856  0.43001
   0.12408 -0.02682  0.49184
   0.10332 -0.02490  0.50676
   0.08427 -0.02282  0.53260
   0.06699 -0.02062  0.52920
   0.05156 -0.01827  0.59593
   0.03806 -0.01580  0.71620
   0.02653 -0.01321  0.82128
   0.01704 -0.01057  0.88600
   0.00961 -0.00815  0.92310
   0.00428 -0.00514  0.92820
   0.00107 -0.00217  0.83107
   0.00000  0.00000  0.21781
   1.00000  0.00000 -0.10718
   0.99893  0.00027 -8.04353
   0.99039  0.00243-20.08708
   0.97347  0.00631 -6.70062
   0.94844  0.01201 -6.97475
   0.91573  0.01991 -1.54178
   0.87592  0.03040 -4.37064
   0.85355  0.03689 -4.12675
   0.82967  0.04437 -4.43663
   0.80438  0.05287 -4.25504
   0.77779  0.06229 -3.79930
   0.75000  0.07233 -2.96646
   0.72114  0.08259 -1.95880
   0.69134  0.09263 -1.15573
   0.66072  0.10208 -0.59847
   0.62941  0.11063 -0.28976
   0.59755  0.11808 -0.14125
   0.56526  0.12429  0.12353
   0.53270  0.12919  0.19758
   0.50000  0.13274  0.16443
   0.46730  0.13490  0.52457
   0.43474  0.13571 -4.51248
   0.40245  0.13526*********
   0.37059  0.13370*********
   0.33928  0.13119*********
   0.30866  0.12783 -0.50941
   0.27886  0.12365  0.47551
   0.25000  0.11870  0.47666
   0.22221  0.11305 -0.01420
   0.19562  0.10677 -0.32659
   0.17033  0.09994 -0.49026
   0.14645  0.09263 -0.60986
   0.12408  0.08490 -0.15766
   0.10332  0.07685 -0.36059
   0.08427  0.06856  0.89976
   0.06699  0.06011-39.28774
   0.05156  0.05158*********
   0.03806  0.04309-20.98678
   0.02653  0.03487 -5.07912
   0.01704  0.02765-18.31680
   0.00961  0.02012 -3.02842
   0.00428  0.01292 -1.66470
   0.00107  0.00653 -0.21377
   0.00000  0.00000  0.99567
