  
       XFOIL         Version 6.99
  
 Calculated polar for: E387                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4107   0.01599   0.00863  -0.0931   0.7914   1.0000
   1.000   0.5112   0.01742   0.00966  -0.0917   0.7591   1.0000
   2.000   0.6152   0.01908   0.01108  -0.0904   0.7329   1.0000
   3.000   0.7137   0.02057   0.01271  -0.0890   0.7011   1.0000
   4.000   0.8103   0.02255   0.01479  -0.0872   0.6682   1.0000
   5.000   0.9131   0.02339   0.01580  -0.0842   0.6325   1.0000
   6.000   1.0227   0.01996   0.01237  -0.0777   0.5597   1.0000
   7.000   1.1252   0.01973   0.01342  -0.0739   0.4987   1.0000
   8.000   1.1542   0.02370   0.01529  -0.0614   0.1267   1.0000
   9.000   1.1442   0.03396   0.02517  -0.0465   0.0372   1.0000
  10.000   1.2319   0.04561   0.03773  -0.0421   0.0350   1.0000
  11.000   1.2323   0.06124   0.05488  -0.0336   0.0385   1.0000
  12.000   1.1646   0.07901   0.07366  -0.0314   0.0406   1.0000
  13.000   1.0757   0.10406   0.09941  -0.0427   0.0418   1.0000
  15.000   0.9630   0.18726   0.18280  -0.0894   0.0967   1.0000
  16.000   0.9790   0.21640   0.21193  -0.0942   0.0914   1.0000
  17.000   0.9681   0.23070   0.22614  -0.1095   0.0825   1.0000
  18.000   0.9849   0.25050   0.24600  -0.1153   0.0721   1.0000
  19.000   1.0101   0.28237   0.27796  -0.1163   0.0660   1.0000
  20.000   0.9917   0.29657   0.29216  -0.1269   0.0636   1.0000
