RAE 2822 AIRFOIL                                
 Alfa =   2.16500 Re =  5700000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  7.92392
   0.99940  0.00004  7.60175
   0.99759  0.00014  7.60173
   0.99459  0.00030  7.60172
   0.99039  0.00050  7.60172
   0.98502  0.00072  7.60172
   0.97847  0.00094  7.60173
   0.97077  0.00111  7.60175
   0.96194  0.00121  7.71231
   0.95200  0.00120  7.60187
   0.94096  0.00103  7.60179
   0.92886  0.00069  7.60176
   0.91574  0.00016  7.60175
   0.90160 -0.00060  7.60175
   0.88651 -0.00159  7.60174
   0.87048 -0.00283  7.60174
   0.85355 -0.00431  7.60174
   0.83578 -0.00605  7.60174
   0.81720 -0.00803  7.60174
   0.79785 -0.01024  7.60174
   0.77779 -0.01269  7.60174
   0.75705 -0.01536  7.60174
   0.73570 -0.01823  7.60174
   0.71378 -0.02129  7.60174
   0.69134 -0.02450  7.60174
   0.66844 -0.02781  7.60174
   0.64514 -0.03121  7.60174
   0.62149 -0.03463  7.60175
   0.59755 -0.03804  7.60175
   0.57336 -0.04140  7.60175
   0.54901 -0.04464  7.60175
   0.52453 -0.04772  7.60175
   0.50000 -0.05056  7.60175
   0.47547 -0.05310  7.60175
   0.45099 -0.05526  7.60175
   0.42663 -0.05698  7.60175
   0.40246 -0.05822  7.60175
   0.37851 -0.05897  7.60175
   0.35486 -0.05924  7.60175
   0.33156 -0.05905  7.60175
   0.30866 -0.05846  7.60176
   0.28622 -0.05755  7.60177
   0.26430 -0.05638  7.60178
   0.24295 -0.05499  7.60180
   0.22221 -0.05343  7.60183
   0.20215 -0.05169  7.60187
   0.18280 -0.04981  7.60192
   0.16422 -0.04777  7.60202
   0.14645 -0.04561  7.60215
   0.12952 -0.04333  7.60243
   0.11349 -0.04093  7.60283
   0.09840 -0.03843  7.60382
   0.08427 -0.03584  7.60669
   0.07114 -0.03317  7.62059
   0.05904 -0.03042  8.07138
   0.04800 -0.02759  7.76117
   0.03806 -0.02468  7.63876
   0.02923 -0.02172  7.62120
   0.02153 -0.01871  7.62590
   0.01498 -0.01565  7.62559
   0.00961 -0.01256  7.62765
   0.00541 -0.00944  7.63633
   0.00241 -0.00631  7.66118
   0.00060 -0.00316  7.63018
   0.00000  0.00000  7.64011
   1.00000  0.00000  7.67799
   0.99940  0.00013  7.60177
   0.99759  0.00051  7.60173
   0.99459  0.00114  7.60172
   0.99039  0.00200  7.60172
   0.98502  0.00309  7.60172
   0.97847  0.00440  7.60172
   0.97077  0.00592  7.60173
   0.96194  0.00762  7.60356
   0.95200  0.00951  7.60197
   0.94096  0.01156  7.60194
   0.92886  0.01377  7.60179
   0.91574  0.01611  7.60177
   0.90160  0.01858  7.60176
   0.88651  0.02115  7.60175
   0.87048  0.02382  7.60174
   0.85355  0.02655  7.60174
   0.83578  0.02935  7.60174
   0.81720  0.03218  7.60174
   0.79785  0.03502  7.60174
   0.77779  0.03785  7.60174
   0.75705  0.04064  7.60173
   0.73570  0.04338  7.60173
   0.71378  0.04603  7.60173
   0.69134  0.04857  7.60173
   0.66844  0.05099  7.60174
   0.64514  0.05326  7.60174
   0.62149  0.05534  7.60174
   0.59755  0.05722  7.60174
   0.57336  0.05884  7.60174
   0.54901  0.06019  7.60174
   0.52453  0.06125  7.60174
   0.50000  0.06203  7.60174
   0.47547  0.06253  7.60174
   0.45099  0.06277  7.60174
   0.42663  0.06278  7.60175
   0.40246  0.06256  7.60173
   0.37851  0.06213  7.60172
   0.35486  0.06150  7.60172
   0.33156  0.06066  7.60172
   0.30866  0.05963  7.60172
   0.28622  0.05841  7.60181
   0.26430  0.05703  7.60179
   0.24295  0.05547  7.60184
   0.22221  0.05375  7.60207
   0.20215  0.05189  7.60247
   0.18280  0.04987  7.60658
   0.16422  0.04773  7.61742
   0.14645  0.04546  7.60287
   0.12952  0.04307  7.60694
   0.11349  0.04059  7.60177
   0.09840  0.03801  7.60174
   0.08427  0.03536  7.60175
   0.07114  0.03264  7.60313
   0.05904  0.02987  7.60176
   0.04800  0.02706  7.60178
   0.03806  0.02422  7.60226
   0.02923  0.02135  7.60178
   0.02153  0.01844  7.60189
   0.01498  0.01549  7.60882
   0.00961  0.01248  7.61461
   0.00541  0.00942  7.61211
   0.00241  0.00631  7.60823
   0.00060  0.00316  8.23152
   0.00000  0.00000  7.92392
